,Company Name,Company ID,Rating,Offer,Details,Original Price,Sale Price,percent_savings,Num_bought,Num_outlets,Outlet Names,Offer start date,Date retrieved
11,La Belle Skin Aesthetics,4373,4.40,Korean 3D Lash by Lash Eyelash Extension for 1 Person,"Make your eyes pop with a little bit of help from a Korean 3D lash by lash extension from La Belle Skin Aesthetics. This treatment attaches 100 lashes piece by piece onto your natural lashes to give them a thicker, longer appearance.",S$158,S$22,86,826,2,"['Orchard Road', '#02-169, Northpoint']",2017-08-25T00:00:00.000+08:00,2018-03-02
12,Nail Addiction,4675,3.90,Classic Gel Mani-Pedi with Return Soak-Off for 1 Person (1 Session),Glam up your nails with a pampering gel manicure and pedicure session. Fear not about having to maintain them as gel polishes typically lasts longer and are more chip-resistant. Choose from a variety of colours from their library of polishes and add a feminine touch to your tips with this manicure and pedicure treatment.,S$201,S$30,85,819,7,"['#01-20, UE Square', '#02-26, Liang Court', '#02-01, Hillion Mall', '#02-09, Rochester Mall', '#03-14, Rochester Mall', '#02-351/352 Suntec City (Convention Side)', '#02-01, United Square Mall']",2017-10-11T00:00:00.000+08:00,2018-03-02
13,Coslab,2201,4.20,90-Min Phyto 5 Elements Facial with Mask + Full Face Drainage Detox for 1 Person,"Pamper yourself with a Phyto 5 facial and full face drainage detox therapy with Phyto 5 essential oil that reduces swelling and detoxifies the skin. Be free to choose the 5 Elements double mask that best suit you from choices such as metal, wood, water, air, or fire and relax your body with a neck and shoulder massage using Phyto 5 serum.",S$350,S$28,92,797,5,"['#01-43, Waterway Point', '#02-28A/28B, The Centrepoint', 'Novena Square 2 ', 'Bukit Panjang Plaza', 'Coslab Admiralty']",2017-07-18T00:00:00.000+08:00,2018-03-02
14,Organic Hair Professional Singapore,5118,4.30,Organic Hair Colouring or Highlight + Argan Oil Treatment for 1 Person,"Revamp your style and get your tresses pampered at the same time with this offer for organic hair colouring or highlights, as well as an argan oil hair treatment. Using Nature’s Organic Sense products, the hair colours are paraben-free and enriched with natural, organic and biodynamic active ingredients for a healthy sheen.  Round up your experience at this CaseTrust accredited salon with a wash and blow that styles your hair for an effortlessly charming look!",S$375,S$58,85,777,5,"['Orchard Central', 'Orchard Wheelock', 'Capitol Piazza', 'Kovan', '#03-27, 112 Katong ']",2017-12-20T00:00:00.000+08:00,2018-03-02
15,HighBrow,710,4.50,Lash-by-Lash Eyelash Extensions for 1 Person,"Flutter away with these eyelash extensions that attach a single extension to each original lash. Choose from a wide variety of extension styles, including Natural lashes, Butterfly lashes, Cat Eye lashes, and more, for a makeup-free look that enhances facial features.",S$128,S$32,75,724,3,"['Capitol Piazza', '#B1-25, The Star Vista', '#01-69, Parkway Parade']",2018-01-17T00:00:00.000+08:00,2018-03-02
16,Specialist Nail & Beauty Spa,2251,4.00,Gel Manicure and Classic Pedicure + Nail Art + Return Soak-Off (1 Session),"Treat your nails and cuticles with a gel manicure and classic pedicure package! La Palm spa scrub, foot soak, and foot mask helps smoothen skin, hydrate skin, and remove dead skin cells. Get funky with your own customise nail art design, or choose from dozens of premade templates.",S$158,S$35,78,711,1,['Far East Shopping Centre'],2016-08-29T00:00:00.000+08:00,2018-03-02
17,Oriental Hair Solutions,4487,4.10,Herbal Scalp and Oxygen Hair Root Therapy + Hair Care Kit for 1 Person (3 Sessions),"Restore your hair health with an extensive hair loss therapy, utilising state-of-the-art equipment to help boost your hair regrowth and reduce hair fall. Obtain a diagnosis at the hands of a professional consultation that includes a hair and scalp analysis to better understand the causes and treatments for hair loss.",S$858,S$38,96,649,10,"['#05-19, Ngee Ann City', 'Tiong Bahru Plaza', '#05-27/28, Tampines One', '#05-17, Parkway Parade', '#04-14, Causeway Point', '#03-16, Compass One', '#04-02, Hougang Mall', '#B1-03/04, Jurong Point', 'The Clementi Mall', '#B1-07A, Junction 8']",2017-09-08T00:00:00.000+08:00,2018-03-02
18,Aurora Hair Art,4422,3.90,L'Oreal Majirel Hair Colouring / Highlights + Keratin Hair Treatment + Senior Stylist Cut for 1 Person,"Add splashes of colour into your hair with a colouring or highlighting service that will complement your features. Choose from bright and bold colours or remain subtle with earthy tones. Additionally, receive a nourishing treatment that will help to replenish nutrients into your hair. On top of that, shorten your hair to give it more character with a haircut.",S$338,S$45,87,647,1,['Bugis Cube '],2017-09-07T00:00:00.000+08:00,2018-03-02
19,La Belle Skin Aesthetics,4373,4.40,Korean 3D Lash by Lash Eyelash Extension with Touch-Up for 1 Person,"Make your eyes pop with a little bit of help from a Korean 3D lash by lash extension from La Belle Skin Aesthetics. This treatment attaches 100 lashes piece by piece onto your natural lashes to give them a thicker, longer appearance.",S$206,S$30,85,625,2,"['Orchard Road', '#02-169, Northpoint']",2017-08-25T00:00:00.000+08:00,2018-03-02
20,N20 Nail Spa,2222,4.20,Gel Manicure with Return Soak-Off + Classic Pedicure for 1 Person (1 Session),"Squeeze in a little me-time with a gel manicure and classic pedicure! Get treated with Footlogix treatments for cracked heels, fungal infections, calluses, and more. Gel polish is longer lasting and chip-resistant, but can be easily removed with included return soak-off session.",S$88,S$28,68,624,2,"['#B1-07, Westgate', '#02-158, VivoCity']",2017-01-14T00:00:00.000+08:00,2018-03-02
21,LOLITA's Lash & Beauty Studio,2585,4.30,NovaMinx Lash Extensions for 1 Person,"Flutter lashes and hearts with the NovaMinx Lash extensions at LOLITA's Lash & Beauty Studio. Extensions give the appearance of longer and fuller eyelashes, and enhance facial features without the use of makeup, using the highly-coveted NovaLash products.",S$119,S$32,73,607,2,"['#B1-12, Marina Square', 'Level 2, Boat Quay']",2016-02-11T00:00:00.000+08:00,2018-03-02
22,Essensuals Hairdressing by TONI&GUY,2254,4.40,Senior Stylist’s Hair Remodelling and Cut with Wella Hair Treatment for 1 Person,"Get the looks straight from the lookbook with Essensuals' senior stylist's hair remodelling and cut. Gain professional advice from hair stylists with up to 15 years of experience, utilising the extraordinary products from Wella, Sebastian Professional, and Label.m. Wella treatment helps restructure hair or reduce hair loss, based on your choice of treatment.",S$102,S$50,51,587,1,"['#03-09, Orchard Central']",2017-02-14T00:00:00.000+08:00,2018-03-02
23,Anew Me Beauty Aesthetic,2876,4.40,12-Session Full Leg SHR Hair Removal for 1 Person,"Tend to body hair and have them removed in a swift, pain-free manner with an SHR hair removal. SHR utilises broad-spectrum low intensity light to penetrate into the skin and targets hair bulbs within the hair follicles without aggravating the skin or causing pain.","S$3,500",S$148,96,574,1,"['#03-27, The Centrepoint']",2017-05-04T00:00:00.000+08:00,2018-03-02
24,Nailz Gallery,2702,4.20,Gel Manicure with Return Soak-Off for 1 Person (1 Session),Keep things trim and sparkly with a gel manicure dedicated to keeping your nails neatly groomed. Shape those nail beds and tend to troublesome hangnails while getting yourself a durable coating of gel nail polish.,S$88,S$18,80,558,6,"['#02-01G, Rivervale Mall', 'HarbourFront Centre', 'Causeway Point Shopping Centre', '#02-15, AMK Hub', '#B2-27/28, Chinatown Point', '#B1-114, Northpoint ']",2017-06-30T00:00:00.000+08:00,2018-03-02
25,N20 Nail Spa,2222,4.20,Classic Mani-Pedi for 1 Person (2 Sessions),"Squeeze in a little me-time with a classic manicure and pedicure package! Get treated with Footlogix treatments for cracked heels, fungal infections, calluses, and more. Pick your colours from a wide range of branded polish, including Chanel.",S$132,S$30,77,552,2,"['#B1-07, Westgate', '#02-158, VivoCity']",2017-01-14T00:00:00.000+08:00,2018-03-02
26,The Infinity Hair Art,2227,3.90,L'Oreal Hair Colouring / Highlights + Keratin Hair Treatment for 1 Person,"Revamp your style and express yourself with this offer for L'Oreal hair colouring or highlights. Choose from a varied palette of colours and pamper brittle strands with a strengthening keratin treatment, before walking away with glossy and flaunt-worthy tresses!",S$288,S$35,88,527,2,"['Orchard Road', 'Marine Parade']",2017-05-30T00:00:00.000+08:00,2018-03-02
27,LifeSpa,676,4.40,75-Minute Golden Radiance Facial + Refresher Eye Treatment for 1 Person,"Indulge in a facial to remove those toxins from your skin. Achieve healthy, glowing skin with the occasional facial indulgence. Treat your eyes to an eye treatment to help reduce those dark lines beneath the eyes.",S$290,S$22,92,523,3,"['L11, Orchard Gateway', 'Carlton Hotel (PrestigeOne)', 'Carlton Hotel  (PrestigeTwo)']",2016-06-21T00:00:00.000+08:00,2018-03-02
28,Pixie Nail Spa,2144,4.40,Gel Manicure with Return Soak-Off + Classic / Gel Pedicure for 1 Person (2 Sessions),"Flaunt your newly shaped and coloured nails with a gel manicure with return soak-off, while pampering your feet with your choice of a classic or gel pedicure. Gel colours last longer with minimal chipping and cracking when properly maintained.",S$234,S$58,75,518,4,"['#B1-04,Hillion Mall', '#02-45, Chinatown Point', 'Tanjong Pagar Centre', '#B1-165, Northpoint']",2017-05-23T00:00:00.000+08:00,2018-03-02
29,Aperial Beauty & Hair,3977,4.00,L'Oreal X Tenso Straightening Rebonding / Perm with Argan Oil Hair Treatment + Wash and Blow for 1 Person,"Get a new hairstyle by changing the texture of your hair with either a rebonding or perming treatment. Additionally, replenish your hair with necessary nutrients with an argan oil hair treatment. Receive a refreshing hair wash and blow that will leave you with bouncier hair.",S$278,S$52,81,510,2,"['Serangoon Central Drive', 'Vibes @ East Coast']",2017-06-29T00:00:00.000+08:00,2018-03-02
30,Belle Lady,2228,3.90,Classic Manicure and Pedicure with Foot Soak for 1 Person,"Pimp your nails up by having it personalised with your favourite colour. Additionally, receive a softening foot soak treatment that will leave your skin feeling supple.",S$78,S$22,72,501,1,"['#03-10, Orchard Gateway']",2016-04-28T00:00:00.000+08:00,2018-03-02
31,Picota Nails,2145,3.80,Gel Manicure with Return Soak-Off for 1 Person (1 Session),Pamper talons with a gel manicure that includes bright and vibrant colours to add a little pzazz to your life! Scan through a library of colours and pick a colour of your choice. Fret not about varnish breakage or chipping as gel polishes typically lasts longer.,S$78,S$18,77,486,1,"['#04-03, Ion Orchard']",2016-03-15T00:00:00.000+08:00,2018-03-02
32,N20 Nail Spa,2222,4.20,Gel Mani-Pedi with Return Soak-Off + Foot Soak  for 1 Person (1 Session),"Squeeze in a little me-time with a gel manicure and pedicure! Get treated with Footlogix treatments for cracked heels, fungal infections, calluses, and more. Gel polish is longer lasting and chip-resistant, but can be easily removed with included return soak-off session.",S$156,S$38,76,483,2,"['#B1-07, Westgate', '#02-158, VivoCity']",2017-01-14T00:00:00.000+08:00,2018-03-02
33,Coslab,2201,4.20,Korean Barbie Doll Eyelash Perm for 1 Person,"Get prettily curled lashes without the weight of eyelash extensions! Korean Barbie Doll eyelash perm gently crimps lashes from the root, making your lashes appear longer and your eyes appear bigger.",S$68,S$18,74,460,3,"['#01-43, Waterway Point', '#02-28A/28B, The Centrepoint', 'North Point Shopping Centre ']",2017-03-20T00:00:00.000+08:00,2018-03-02
34,DRx Medispa,1006,4.50,60-Min DRx Essential Deep Cleansing Facial for 1 Person,"Pamper your skin with a facial that treats blemished, acne-prone skin and clogged pores through gentle exfoliation while hydrating and replenishing skin with essential nutrients to encourage natural skin healing. Suitable for all skin types, including acne-prone, combination, and oily skin.",S$140,S$38,73,460,2,"['Tong Building', '#03-01B, Wisma Atria']",2017-04-12T00:00:00.000+08:00,2018-03-02
35,Jean Yip Hairdressing,4483,4.20,Hair Colour/Highlights and Scalp Protection for 1 Person,"Change your look with a fresh new coat of colour with a hair colouring or highlighting service. On top of that, protect your scalp with Scalp Protection Therapy! It is a cooling gel that will be applied to the scalp for protection during colouring of the hair.
*Scalp Protection Therapy gel will be applied before hair colouring.",S$250,S$58,77,459,11,"['#02-43, Bugis Junction', '#04-02, Plaza Singapura', '#02-204A, Vivocity', '#04-05, Parkway Parade', '#03-13/14/K1, Tampines Mall', '#03-06/07, Junction 8', '#04-08, Compass One', 'Northpoint', 'Bukit Panjang Plaza', 'Lot One Shoppers Mall', 'IMM']",2017-09-07T00:00:00.000+08:00,2018-03-02
36,DRx Trichology,3657,4.60,90-Minute DRx Award-Winning Intensive Hair Regeneration Therapy + Hair Purifying Serum for 1 Person,Restore the volume of your hair with an intensive hair regeneration therapy that helps to stimulate and promote cellular activity in your follicles with micro-needle therapy while the Hair Growth Factor Stem Cell serum and a Low Level Laser Hair Therapy are used to stimulate hair growth.,S$400,S$38,91,448,1,['Orchard Road'],2017-05-05T00:00:00.000+08:00,2018-03-02
37,Picota Nails,2145,3.80,Classic / Gel Pedicure with Return Soak-Off for 1 Person (1 Session),Dip your feet into cool waters without having to get outside the city with a classic or gel pedicure. Scan through a library of colours and pick a colour of your choice. Fret not about varnish breakage or chipping as gel polishes typically lasts longer.,S$39,S$18,54,434,1,"['#04-03, Ion Orchard']",2016-03-15T00:00:00.000+08:00,2018-03-02
38,Nectar Aesthetics,2442,4.60,Brazilian Waxing for 1 Person (1 Session),Be bold and flaunt your new bikini at the beach worry-free with this offer at Nectar Aesthetic. Strip away pesky hairs and achieve the smooth soft skin you desire for the holidays. Frequent waxing results in longer lasting hairlessness and reduces hair re-growth.,S$68,S$22,68,426,1,['Concorde Hotel (Orchard)'],2017-11-29T00:00:00.000+08:00,2018-03-02
39,HighBrow,710,4.50,Korean Cirrus Lash-By-Lash Extensions for 1 Person,"Brighten up your peepers and add a touch of definition to your fluttering lashes with a Korean Cirrus lash extension. Named after the Cirrus cloud because of its soft-to-wear texture, the lashes have a fluffy and voluminous appearance. Eash extension spans 0.05mm or 0.07mm in thickness and can be compiled with up to five nanofine lashes on each of your eyelashes. Choose from the range of designs available to suit the look of your choice, from a natural look to a bold voluminous boost.",S$168,S$38,77,420,3,"['Capitol Piazza', '#B1-25, The Star Vista', '#01-69, Parkway Parade']",2018-01-17T00:00:00.000+08:00,2018-03-02
40,TIGI Professional Hair Salon,4657,4.40,Originate Organic Hair Colour + Wash and Blow + Stylist Cut for 1 Person,"Switch up your current look for a new and trendy one with hair treatments at TIGI Professional Hair Salon. Give your hair new hues with an organic hair colour treatment. From vibrant colours like red, blue, and purple, or subtle shades like gray and brown, pick your colour of choice for your new look. Additionally, receive a stylist cut paired with a wash and blow to complete your makeover.",S$218,S$49,78,419,1,"['#B1-02, Orchard Gateway']",2017-09-09T00:00:00.000+08:00,2018-03-02
41,CYL Scalp Lab Solutions,5055,4.70,Nature's Organic Hair Colour / Highlights + Deep Recovery Treatment + Hair Cut for 1 Person,"Upgrade your look and give your hair a new hue with a hair colouring or highlighting treatment. Professional hairstylists and colourists maintain the quality of services by using Nature's Organic products which are 100% ammonia free. Additionally, rock a new style with a hair cut service. Complete your treatment with a nourishing deep recovery treatment that will replenish lost nutrients in your hair.",S$363,S$58,84,412,1,"['#03-70/71/72, Clarke Quay']",2017-12-05T00:00:00.000+08:00,2018-03-02
42,BottomSlim,2697,3.40,"[CNY Special] $0 for UltraSonic Tummy, Hip and Thighs™ Trim Treatment for 1 Person (2 Sessions)","Achieve your desired body with this Signature UltraSonic Tummy, Hip and Thighs™ Trim. This non-invasive and effective treatment helps dissolve fat, promote blood circulation, aid in detoxification, remove cellulite, and improve overall body metabolism for better weight management. The ultrasonic vibration of ions causes a strong wave of pressure towards fat cells and dispells toxins, while the thermal effect of ultrasonic waves boosts blood circulation. Physical vibrations of up to 1 million per second results in each targeted area vibrating accordingly to provide a unique cell massage, while enhancing the cellular metallic function, increasing the vitality of cells, promoting the blood circulation, improving the nutrition of skin tissue and keeping skin smooth and elastic.",S$688,S$0.00,100,408,4,"['#03-31, NEX', 'Square 2', 'Jurong East', 'Tong Building']",2018-01-25T00:00:00.000+08:00,2018-03-02
43,MyLash,3372,4.40,"Lash Extension, Spa, and Brush + Touch Up for 1 Person","Give your original lashes a length and volume boost at MyLash with their eyelash extension service with touch up, lash spa and eyelash brush. The brush allows you to keep up your new look after the appointment, lengthening not only your lashes but also the period these stunning results lasts.",S$163,S$36,78,407,2,"['#03-10, Heartland Mall', 'Tampines Central']",2016-12-04T00:00:00.000+08:00,2018-03-02
44,Specialist Nail & Beauty Spa,2251,4.00,Gel Manicure with Nail Art + Return Soak-Off (1 Session),"Make manicures more exciting with nail arts! Customise your own design, or choose from dozens of the salon's design templates to suit mood. Gel polish could last for up to three weeks with proper care, which makes them quite hard to take off. Included return soak-off makes that easy for you.",S$93,S$19,80,406,1,['Far East Shopping Centre'],2016-08-29T00:00:00.000+08:00,2018-03-02
45,Iconic Korean Hair Studio,2294,4.50,Hair Colouring or Highlights + Wash and Blow + Treatment for 1 Person,"Discover the beauty of brilliantly coloured locks with a hair colouring or highlights session with wash and blow at Iconic Korean Hair Studio. With both local and Korean stylists available, you get to take your pick! Infuse all the right vitamins into your hair for a healthy glow with a treatment which follows after.",S$205,S$58,72,402,1,"['#03-19, One Raffles Place']",2017-04-05T00:00:00.000+08:00,2018-03-02
46,EPI TREATZ,701,4.30,75-Min Deep Pore Cleansing Facial for 1 Person,"Give yourself a break and go for a deep pore cleansing facial where impurities, dirts, blackheads, and clogged pores are removed from your skin for a cleaner and healthier look. ",S$200,S$26,87,398,3,"['Eastwood Centre', 'Leisure Park Kallang', '#03-16/17/18, Orchard Central']",2017-06-20T00:00:00.000+08:00,2018-03-02
47,Picota Nails,2145,3.80,Gel Manicure + Classic / Gel Pedicure with Return Soak-Off for 1 Person (2 Sessions),Pamper talons and dip your toes with a gel manicure and choice of a classic or gel pedicure to add a little bit of colour to your life. Scan through a library of colours and pick a colour of your choice. Fret not about varnish breakage or chipping as gel polishes typically lasts longer.,S$234,S$58,75,396,1,"['#04-03, Ion Orchard']",2016-03-15T00:00:00.000+08:00,2018-03-02
48,MyLash,3372,4.40,"Lash Extension, Spa, and Brush for 1 Person","Give your original lashes a length and volume boost at MyLash with their eyelash extension service with lash spa and an eyelash brush. The eyelash brush allows you to keep up your new look after the appointment, lengthening not only your lashes but also the period these stunning results lasts.",S$131,S$26,80,388,2,"['#03-10, Heartland Mall', 'Tampines Central']",2016-12-04T00:00:00.000+08:00,2018-03-02
49,Just 10 Group,2220,3.50,Intensive Argan Oil Hair and Scalp Treatment for 1 Person,"Spiff and style your treasured tresses with an intensive argan oil hair and scalp treatment session at Just 10 Group. Hairstylists from Singapore and Japan with over 5 years of experience, uses paraben and silicon-free hair care products to unveil the best of your strands. Argan oil mask and serum hydrate and nourish hair, while L’Oréal Mythic Oil contains antioxidants to smoothen hair and protect from damages and L’Oréal Mythic Milk penetrates the cuticle to promote hair repair.",S$280,S$18,94,374,5,"['#05-85,Far East Plaza', '#02-15/16,Liang Court', 'Changi City Point', '#01-07,Djitsun Mall', '#01-35, Waterway Point']",2016-01-20T00:00:00.000+08:00,2018-03-02
50,N20 Nail Spa,2222,4.20,Gel Manicure with Return Soak-Off + Classic Pedicure for 1 Person (2 Sessions),"Squeeze in a little me-time with a gel manicure and classic pedicure! Get treated with Footlogix treatments for cracked heels, fungal infections, calluses, and more. Gel polish is longer lasting and chip-resistant, but can be easily removed with included return soak-off session.",S$176,S$50,72,373,2,"['#B1-07, Westgate', '#02-158, VivoCity']",2017-01-14T00:00:00.000+08:00,2018-03-02
51,SkinLab The Medical Spa,822,4.20,2-Session 90-Min Ultrasound Repair Facial with Apple Stem Cell Treatment for 1 Person,"Pamper your skin to a facial. The occasional facial can help rejuvenate your skin, and clear your skin from the toxins you expose yourself to daily. Sit back, relax, and let experienced therapists help you achieve healthy skin.",S$536,S$60,89,369,6,"['#04-04, Wheelock Place', '#03-33, Plaza Singapura', '#B1-62, Jurong Point', '#04-22, Westgate', '#04-02, Junction 8', '#04-11, Causeway Point']",2016-09-01T00:00:00.000+08:00,2018-03-02
52,The Infinity Hair Art,2227,3.90,Senior Stylist Cut with Hair Remodeling Consultation for 1 Person (1 Session),"Change up your hairstyle with The Infinity Hair Art! Trust the hands and skills of senior hairstylists as they cut tresses to desired length and style, as well as provide consultation on the best way to style your hair according to shape and texture.",S$138,S$18,87,360,2,"['Orchard Road', 'Marine Parade']",2017-02-20T00:00:00.000+08:00,2018-03-02
53,Unique Crystal Beauty House,811,4.10,Gel Manicure + Classic Pedicure + Peppermint Scrub + Return Soak-Off + Glitter Tips for Two (2) Nails for 1 Person (1 Session),"Pretty, sparkly nails are within easy reach at Unique Crystal Beauty House, located conveniently near the Bugis MRT station, for a gel pedicure and classic pedicure with glitter tips, peppermint scrub and return soak-off. Gel polish withstands chips and cracks for up to three weeks, with proper maintenance, decorated with some shining glitter tips to add glamour to complement your personality! Peppermint scrub easily removes dead skin cells, leaving you with smooth, desirable skin.",S$70,S$30,57,359,1,"['#02-05A, Bugis Cube']",2016-08-14T00:00:00.000+08:00,2018-03-02
54,Guirentang Trading  (Gui Ren Tang),2454,4.50,45-Minute 8-Step Botanical Hair and Follicles Therapy for 1 Person (2 Sessions),"It doesn't take green hands, or green heads, to indulge yourself in a 45-minute 8-step botanical hair and follicles therapy at Gui Ren Tang. The premium herbs treatment deeply cleanses scalp and hair follicles and replenish hair with phyto-nutrients to prevent hair-loss, promote hair-growth and maintain healthy scalp cells environment, while the gua sha therapy rejuvenates blood circulation to prevent dormant and irreversible dead follicles. Ginger scalp treatment regulates sebaceous glands activity to diminish inflammation, itch and excessive sebum production.",S$256,S$32,88,357,2,"['Serangoon Gardens', '#03-37, Holland Shopping Centre']",2016-04-25T00:00:00.000+08:00,2018-03-02
55,Ginza Calla,3796,4.00,3 Sessions of Brazilian IPL + Lifetime Underarm IPL Hair Removal for 1 Person,"Body hair removal doesn’t have to a distressing affair – IPL ensures a quick, non-invasive, and mostly pain-free hair removal treatment for underarms and Brazilian area. Boasting a line of therapists trained under a Japanese management, this beauty centre is located in Plaza Singapura, a 5-minute walk from Dhoby Ghaut MRT.","S$3,048",S$48,98,350,2,"['#04-55, Plaza Singapura', 'International Building']",2017-05-29T00:00:00.000+08:00,2018-03-02
56,N20 Nail Spa,2222,4.20,Gel Manicure with Return Soak-Off for 1 Person (1 Session),"Squeeze in a little me-time with a gel manicure! Pick your colours from a wide range of branded polish, including Chanel. Gel polish is longer lasting and chip-resistant, but can be easily removed with included return soak-off session.",S$68,S$18,74,350,2,"['#B1-07, Westgate', '#02-158, VivoCity']",2017-01-14T00:00:00.000+08:00,2018-03-02
57,Simply Aesthetics,988,4.30,3-Session: GLOW ZONE Laser Facial for 1 Person,"Glow Zone laser facial treatment uses low energy pulses of lasers to eliminate signs of aging and imperfections. It could help in reducing acne, open pores, brown spots, dull skin and more, its overall effect is the whitening, and helping you feel radiant in your own skin.","S$1,200",S$68,94,347,1,"['#B1-28, Capitol Piazza']",2015-06-23T00:00:00.000+08:00,2018-03-02
58,Glams HairWorks,3167,4.30,"Shiseido Crystalize Soft Hair Rebonding with L'Oreal Treatment, Wash and Blow for 1 Person","Hailing not only hair products from Shiseido but style inspiration from all over the world is Glams HairWorks with their Shiseido Crystalize soft hair rebonding with a nourishing L'Oreal treatment, wash and blow. Soft yet volumising rebonding creates natural straight-looking hair, while silky straight reduce tangles.",S$350,S$78,78,344,1,"['#03-87, Far East Plaza']",2017-07-18T00:00:00.000+08:00,2018-03-02
